4.7539 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x110550200>, name='window1', pos=[0, 0], screen=0, size=array([1280,  800]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7540 	EXP 	window1: recordFrameIntervals = False
4.9186 	EXP 	window1: recordFrameIntervals = True
5.1038 	EXP 	window1: recordFrameIntervals = False
5.1101 	EXP 	Created dots = DotStim(autoLog=True, coherence=1.0, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, dir=0.0, dotLife=3, dotSize=2, element=None, fieldPos=array([ 0.,  0.]), fieldShape='circle', fieldSize=array([ 1.,  1.]), nDots=100, name='dots', noiseDots='direction', opacity=1.0, rgb=array([ 1.,  1.,  1.]), signalDots='same', speed=0.1, units=u'norm', win=Window(...))
5.1803 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Any text\n\nincluding line breaks', units=u'norm', win=Window(...), wrapWidth=1)
5.1826 	EXP 	Created dots = DotStim(autoLog=True, coherence=1.0, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, dir=0.0, dotLife=3, dotSize=2, element=None, fieldPos=array([ 0.,  0.]), fieldShape='circle', fieldSize=array([ 1.,  1.]), nDots=100, name='dots', noiseDots='direction', opacity=1.0, rgb=array([ 1.,  1.,  1.]), signalDots='same', speed=0.1, units=u'norm', win=Window(...))
5.1893 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Any text\n\nincluding line breaks', units=u'norm', win=Window(...), wrapWidth=1)
5.1894 	EXP 	window1: recordFrameIntervals = False
5.2019 	EXP 	dots: autoDraw = True
5.2019 	EXP 	text: autoDraw = True
5.2020 	EXP 	window1: recordFrameIntervals = False
6.1866 	EXP 	window1: recordFrameIntervals = False
6.2029 	EXP 	dots: autoDraw = False
6.2029 	EXP 	text: autoDraw = False
6.2029 	EXP 	dots: autoDraw = False
6.2029 	EXP 	text: autoDraw = False
6.2029 	EXP 	dots: autoDraw = True
6.2029 	EXP 	text: autoDraw = True
6.2031 	EXP 	window1: recordFrameIntervals = False
7.1887 	EXP 	window1: mouseVisible = True
